path,relative_path,station,year,camera,timestamp,folder_label,filename_label,visual_label,visual_confidence,score_1x,score_10x,reference_1x,reference_10x,scale_to_1x,scale_to_10x,inliers_1x,inliers_10x,status,reason
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_24-10_07-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_24-10_07-K1-10X.jpeg,02.03,2015,K1,2015-02-24 10:07:00,10X,10X,10X,1.0,0.0,0.508391,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_24-10_07-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_25-09_00-K1-10X.jpeg,nan,1.000289502157405,0,28,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_25-09_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_25-09_00-K1-10X.jpeg,02.03,2015,K1,2015-02-25 09:00:00,10X,10X,10X,1.0,0.0,0.606055,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_25-09_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_24-10_07-K1-10X.jpeg,nan,0.9991348847910017,0,30,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_26-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_26-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-26 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_26-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_27-09_30-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_27-09_30-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_27-09_30-K1-10X.jpeg,02.03,2015,K1,2015-02-27 09:30:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_27-09_30-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_26-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_28-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_28-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-28 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_28-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_01-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_01-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_03_01-10_00-K1-10X.jpeg,02.03,2015,K1,2015-03-01 10:00:00,10X,10X,10X,1.0,0.0,0.192586,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_03_01-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_28-10_00-K1-10X.jpeg,nan,1.0011696438591506,0,9,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_03-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_03_03-10_00-K1-10X.jpeg,02.03,2015,K1,2015-03-03 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_03_03-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_04-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_04-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_03_04-10_00-K1-10X.jpeg,02.03,2015,K1,2015-03-04 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_03_04-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_05-09_30-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_05-09_30-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_03_05-09_30-K1-10X.jpeg,02.03,2015,K1,2015-03-05 09:30:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_03_05-09_30-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_04-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_06-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_03_06-10_00-K1-10X.jpeg,02.03,2015,K1,2015-03-06 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_03_06-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_03_05-09_30-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
