Folder,Filename,FullPath,IssueType,Details,Width,Height,MeanBrightness,StdDev,LaplacianVar
06.02\2015\K2\10X,06_02-2015_05_26-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_05_26-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_05_27-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_05_27-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_05_28-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_05_28-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_05_30-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_05_30-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_05_31-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_05_31-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_01-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_01-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_02-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_02-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_03-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_03-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_04-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_04-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_05-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_05-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_07-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_07-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_08-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_08-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_09-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_09-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_10-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_10-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
